game_id,location,description,gamedate,opponent,match_score
83,University of New Hampshire,USM v.s. University of New Hampshire! Located at University of New Hampshire on 2024-05-06 10:16:29.,2024-05-06 10:16:29,University of New Hampshire,
84,University of Maine Orino,USM v.s. University of Maine Orino! Located at University of Maine Orino on 2024-05-07 13:29:52.,2024-05-07 13:29:52,University of Maine Orino,
85,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2024-05-13 09:35:06.,2024-05-13 09:35:06,Plymouth State University,
86,USM,USM v.s. University of New England! Located at USM on 2024-06-14 13:21:06.,2024-06-14 13:21:06,University of New England,
87,Bates College,USM v.s. Bates College! Located at Bates College on 2024-06-30 07:51:42.,2024-06-30 07:51:42,Bates College,
88,Plymouth State University,USM v.s. Plymouth State University! Located at Plymouth State University on 2024-07-23 23:16:07.,2024-07-23 23:16:07,Plymouth State University,
89,University of New England,USM v.s. University of New England! Located at University of New England on 2024-08-03 08:37:07.,2024-08-03 08:37:07,University of New England,
90,Colby College,USM v.s. Colby College! Located at Colby College on 2024-08-05 09:45:52.,2024-08-05 09:45:52,Colby College,
91,Bates College,USM v.s. Bates College! Located at Bates College on 2024-08-07 09:53:34.,2024-08-07 09:53:34,Bates College,
92,University of New England,USM v.s. University of New England! Located at University of New England on 2024-08-16 08:28:20.,2024-08-16 08:28:20,University of New England,
93,University of New England,USM v.s. University of New England! Located at University of New England on 2024-09-13 20:26:05.,2024-09-13 20:26:05,University of New England,
94,USM,USM v.s. Bates College! Located at USM on 2024-09-17 05:46:20.,2024-09-17 05:46:20,Bates College,
95,USM,USM v.s. University of New England! Located at USM on 2024-10-03 13:15:02.,2024-10-03 13:15:02,University of New England,
96,USM,USM v.s. Plymouth State University! Located at USM on 2024-10-06 12:16:00.,2024-10-06 12:16:00,Plymouth State University,
97,USM,USM v.s. Colby College! Located at USM on 2024-10-11 13:08:53.,2024-10-11 13:08:53,Colby College,
98,Merrimack College,USM v.s. Merrimack College! Located at Merrimack College on 2024-10-18 00:32:41.,2024-10-18 00:32:41,Merrimack College,
99,USM,USM v.s. University of New England! Located at USM on 2024-10-21 17:35:53.,2024-10-21 17:35:53,University of New England,
100,USM,USM v.s. University of New Hampshire! Located at USM on 2024-11-08 17:05:35.,2024-11-08 17:05:35,University of New Hampshire,
101,Bates College,USM v.s. Bates College! Located at Bates College on 2024-11-09 08:12:48.,2024-11-09 08:12:48,Bates College,
